,temp
1166,1.4
1167,2.9
1168,-0.4
1169,2.0
1170,6.1
1171,7.9
1172,6.9
1173,6.4
1174,9.8
1175,9.7
1176,8.8
1177,9.4
1178,8.1
1179,11.4
1180,12.2
1181,4.0
1182,6.8
1183,12.4
1184,16.0
1185,7.0
1186,8.1
1187,13.4
1188,17.0
1189,17.6
1190,8.2
1191,7.9
1192,6.1
1193,5.7
1194,7.6
1195,6.7
1196,7.2
1197,12.0
1198,11.0
1199,8.1
1200,8.9
1201,11.4
1202,10.4
1203,11.2
1204,8.2
1205,5.9
1206,10.4
1207,11.5
1208,10.7
1209,12.7
1210,8.2
1211,8.6
1212,14.7
1213,11.4
1214,10.1
1215,11.9
1216,15.6
1217,17.7
1218,18.2
1219,14.5
1220,11.0
1221,9.2
1222,6.3
1223,5.9
1224,4.5
1225,6.0
1226,5.7
1227,6.0
1228,7.3
1229,9.8
1230,15.6
1231,21.0
1232,18.9
1233,18.9
1234,21.9
1235,23.6
1236,24.4
1237,22.2
1238,21.5
1239,22.0
1240,18.8
1241,20.5
1242,12.8
1243,12.2
1244,10.1
1245,10.6
1246,10.3
1247,11.4
1248,10.8
1249,8.6
1250,10.6
1251,14.8
1252,18.1
1253,19.4
1254,18.5
1255,19.2
1256,21.4
1257,19.4
1258,16.3
1259,16.2
1260,18.7
1261,18.0
1262,19.6
1263,18.3
1264,15.8
1265,15.9
1266,18.6
1267,21.5
1268,23.0
1269,23.2
1270,20.8
1271,19.6
1272,19.7
1273,18.7
1274,18.6
1275,20.4
1276,22.7
1277,23.9
1278,23.9
1279,24.6
1280,22.3
1281,18.4
1282,20.3
1283,20.7
1284,17.1
1285,18.4
1286,15.0
1287,14.9
1288,17.3
1289,16.8
1290,14.4
1291,14.6
1292,16.9
1293,19.8
1294,17.8
1295,15.4
1296,16.0
1297,21.8
1298,23.8
1299,18.6
1300,17.4
1301,21.5
1302,23.3
1303,17.2
1304,17.8
1305,17.6
1306,16.5
1307,15.8
1308,13.9
1309,16.0
1310,14.2
1311,15.1
1312,16.2
1313,14.6
1314,15.0
1315,15.4
1316,17.4
1317,22.0
1318,20.3
1319,21.0
1320,21.0
1321,22.4
1322,23.7
1323,22.6
1324,17.6
1325,19.3
1326,17.5
1327,19.0
1328,19.4
1329,15.5
1330,15.5
1331,18.6
1332,16.6
1333,14.8
1334,14.6
1335,15.1
1336,13.9
1337,17.8
1338,17.2
1339,17.4
1340,24.0
1341,18.4
1342,15.2
1343,13.0
1344,13.3
1345,13.5
1346,15.4
1347,16.2
1348,12.4
1349,11.3
1350,11.8
1351,10.5
1352,10.3
1353,10.8
1354,13.4
1355,14.0
1356,14.6
1357,15.9
1358,13.1
1359,15.2
1360,13.3
1361,16.6
1362,14.2
1363,13.5
1364,15.0
1365,15.6
1366,17.9
1367,12.1
1368,12.0
1369,16.6
1370,18.3
1371,16.8
1372,11.8
1373,10.0
1374,8.2
1375,7.6
1376,6.9
1377,9.1
1378,9.6
1379,10.0
1380,11.3
1381,9.9
1382,12.6
1383,13.8
1384,13.9
1385,12.6
1386,12.2
1387,13.4
1388,11.7
1389,5.4
1390,10.2
1391,9.2
1392,12.0
1393,11.2
1394,11.8
1395,12.1
1396,13.8
1397,10.5
1398,9.2
1399,8.4
1400,5.8
1401,6.9
1402,5.4
1403,7.3
1404,5.8
1405,5.9
1406,6.3
1407,6.6
1408,6.1
1409,4.5
1410,2.6
1411,7.7
1412,9.2
1413,8.8
1414,8.1
1415,1.9
1416,2.0
1417,2.2
1418,5.2
1419,7.9
1420,8.4
1421,6.9
1422,5.3
1423,-1.2
1424,-3.0
1425,-1.6
1426,2.4
1427,5.8
1428,11.0
1429,11.9
1430,6.7
1431,7.0
1432,8.3
1433,11.2
1434,8.1
1435,3.9
1436,0.6
1437,3.8
1438,0.4
1439,3.0
1440,3.8
1441,4.4
1442,4.0
1443,-0.2
1444,-0.6
1445,-1.2
1446,-1.7
1447,-3.8
1448,-1.2
1449,-2.2
1450,0.0
1451,-1.0
1452,0.1
1453,2.6
1454,1.1
1455,1.1
1456,3.2
1457,3.2
1458,1.2
1459,-1.2
1460,-3.5
1461,-4.2
1462,-2.7
1463,-0.6
1464,-1.9
1465,-7.0
1466,-9.9
1467,-8.8
1468,-4.4
1469,-2.0
1470,-4.6
1471,-4.9
1472,0.5
1473,3.0
1474,2.4
1475,5.0
1476,6.3
1477,2.5
1478,1.4
1479,3.1
1480,5.4
1481,1.6
1482,-2.4
1483,-5.4
1484,-7.8
1485,-8.9
1486,-14.8
1487,-13.2
1488,-10.6
1489,-8.3
1490,-13.2
1491,-16.8
1492,-14.8
1493,-11.4
1494,-9.0
1495,-7.8
1496,-7.8
1497,-4.8
1498,-8.2
1499,-9.9
1500,-1.2
1501,-2.6
1502,-3.1
1503,-5.3
1504,-0.7
1505,-0.1
1506,-0.8
1507,-5.5
1508,-9.8
1509,-9.2
1510,-9.3
1511,-10.8
1512,-11.1
1513,-9.9
1514,-8.1
1515,-3.8
1516,2.9
1517,3.3
1518,3.1
1519,2.7
1520,2.2
1521,2.1
1522,5.8
1523,5.2
1524,3.1
1525,3.0
1526,4.1
1527,5.4
1528,3.3
1529,2.8
1530,1.4
1531,-0.4
1532,0.6
1533,1.2
1534,0.8
1535,0.0
1536,-0.2
1537,1.2
1538,0.2
1539,3.2
1540,7.6
1541,10.8
1542,9.1
1543,6.2
1544,3.8
1545,5.6
1546,3.6
1547,3.7
1548,5.5
1549,6.4
1550,9.9
1551,8.2
1552,5.3
1553,8.0
1554,11.2
1555,6.6
1556,6.0
1557,5.9
1558,5.8
1559,3.7
1560,3.1
1561,3.5
1562,6.7
1563,5.8
1564,6.4
1565,4.1
1566,3.3
1567,4.2
1568,5.8
1569,4.2
1570,5.5
1571,8.1
1572,6.0
1573,6.8
1574,8.6
1575,8.4
1576,5.3
1577,7.8
1578,8.0
1579,8.1
1580,11.2
1581,13.2
1582,15.4
1583,11.5
1584,10.5
1585,12.3
1586,12.9
1587,10.2
1588,12.6
1589,16.9
1590,17.0
1591,16.8
1592,14.4
1593,9.8
1594,9.4
1595,13.0
1596,14.6
1597,16.6
1598,14.0
1599,10.8
1600,9.6
1601,9.6
1602,12.8
1603,15.6
1604,16.8
1605,18.4
1606,18.7
1607,19.8
1608,20.0
1609,20.6
1610,13.9
1611,15.3
1612,13.3
1613,15.5
1614,16.5
1615,16.2
1616,17.0
1617,18.4
1618,12.1
1619,17.5
1620,19.0
1621,16.4
1622,16.0
1623,17.2
1624,17.4
1625,16.4
1626,13.0
1627,18.4
1628,21.0
1629,20.5
1630,24.0
1631,26.2
1632,23.2
1633,19.0
1634,18.4
1635,16.7
1636,20.2
1637,17.3
1638,14.6
1639,15.2
1640,13.8
1641,15.4
1642,15.0
1643,15.4
1644,16.8
1645,18.6
1646,13.6
1647,14.1
1648,15.5
1649,12.9
1650,16.0
1651,16.8
1652,14.7
1653,14.6
1654,17.4
1655,16.1
1656,13.9
1657,13.0
1658,14.3
1659,16.1
1660,14.1
1661,14.0
1662,15.9
1663,15.0
1664,13.8
1665,15.4
1666,18.5
1667,15.9
1668,16.5
1669,15.2
1670,14.7
1671,13.2
1672,14.5
1673,14.8
1674,19.4
1675,23.6
1676,21.8
1677,20.4
1678,24.4
1679,16.4
1680,17.4
1681,15.2
1682,15.4
1683,13.4
1684,16.3
1685,16.8
